Id,Label,GeoCategory,Affilations,Main Role,All Roles,Debut Year,Debut Region,Debut at Private Studio,lat,lon
3694,"戴咏素","Xi'an / Northeast","Changchun Film Studio (1) & Xi'an Film Studio (1)","Acting","Acting (2)",1959,"Northeast","False",-0.5848563392336663,0.050594531447930136
3695,"郭文林","Northeast","Changchun Film Studio (3)","Acting","Acting (3)",1959,"Northeast","False",43.25994036753108,125.02973561257312
3696,"宋宝义","Northeast","Changchun Film Studio (3) & Xi'an Film Studio (1)","Acting","Acting (3)",1959,"Northeast","False",44.66059751547848,124.37649348592602
3697,"林洪桐","Beijing","Changchun Film Studio (1) & Studio of Beijing Film Academy (1) & August First Film Studio (1) & Beijing Film Studio (1)","Acting","Acting (4)",1959,"Northeast","False",38.90889529576822,116.44480627177182
3698,"汪一之","Northeast","Changchun Film Studio (3)","摄影","摄影 (3)",1959,"Northeast","False",44.079109142538144,124.37663129128214
3699,"李友仁","Northeast","Changchun Film Studio (1)","美术","美术 (1)",1959,"Northeast","False",43.13429763429313,124.58094817119397
3700,"阎冀","Northeast","Changchun Film Studio (4)","录音","录音 (4)",1959,"Northeast","False",44.123602843661686,126.14942766365495
3701,"吕茂","Northeast","Changchun Film Studio (1)","军事顾问","军事顾问 (1)",1959,"Northeast","False",44.03633326529644,125.74686714528616
3702,"顾德信","Northeast","Changchun Film Studio (2)","摄影 | 副摄影","副摄影 (1) & 摄影 (1)",1959,"Northeast","False",44.6641171044137,124.51177521505019
3703,"鲜灵霞","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.747892887987156,124.7669859578671
3704,"尚宝信","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.71327318276238,125.43175242431748
3705,"杨淑芳","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.03745255785794,125.18711730940798
3706,"郭美美","Beijing / Northeast","Changchun Film Studio (1) & August First Film Studio (1)","Acting | 独唱","Acting (1) & 独唱 (1)",1959,"Northeast","False",0.46916286495482873,-0.9841703317182187
3707,"王鸿瑞","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.89348319438161,126.06968512220959
3708,"金倩","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.361919501848526,124.4133544247349
3709,"杨俊臣","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.38265444681551,125.48224471733829
3710,"齐鲁","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.17506413650375,124.74365583525089
3711,"汪德华","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.69857711792348,124.77085593129475
3712,"郑耐梅","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.1200481360648,124.96216173441387
3713,"杨淑香","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.79860567754975,126.01436655484974
3714,"单宝峰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.796239406480545,125.18187432434006
3715,"岳韵宗","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.481301858175414,124.8388658470227
3716,"马莉","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",42.90093053417981,125.90260354170879
3717,"胡喜英","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.274736161008285,125.11727205541727
3718,"吉宝亭","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.00477214349652,125.91651096137937
3719,"路亚东","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.08588510548652,124.98722010497093
3720,"辛俊德","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.5973654225698,125.18676971989872
3721,"温祥林","Northeast","Changchun Film Studio (6) & Xi'an Film Studio (1)","Acting","Acting (6)",1959,"Northeast","False",43.20395761768754,125.09111882125104
3722,"杨光","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.2155740804426,126.17449870529825
3723,"王近胜","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",42.95556349156147,125.97545158936485
3724,"白崇岩","Northeast","Changchun Film Studio (5)","作曲","作曲 (3) & 音乐编辑 (2)",1959,"Northeast","False",43.95344576235514,125.1535834876431
3725,"弘波","Northeast","Changchun Film Studio (2)","录音","录音 (2)",1959,"Northeast","False",43.077214976931444,126.18209449329972
3726,"邢汉臣","Northeast","Changchun Film Studio (1)","军事顾问","军事顾问 (1)",1959,"Northeast","False",43.20145919503522,124.67994852194812
3727,"王秀兰","Northeast","Changchun Film Studio (2) & Haiyan Film Studio (1)","Acting","Acting (3)",1959,"Shanghai (state) / Northeast","False",44.70072993527575,125.72263296854891
3728,"阎逢春","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.07414333089096,125.57129879640559
3729,"杨虎山","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.73968341676499,125.3473572300687
3730,"筱月来","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.65894159527543,125.50530202960253
3731,"张庆奎","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.42013341343049,126.30382325812681
3732,"筱媛娜","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",42.95552290199707,125.65863590282778
3733,"吴永胜","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.71642325147852,126.12556664460644
3734,"武兴栋","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.17356948164657,124.68627766420806
3735,"曹锁元","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.53294242861442,125.399761433425
3736,"任琪亮","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",42.918399020041136,124.77986668413662
3737,"石岩","Northeast","Changchun Film Studio (2)","编曲 | Acting","Acting (1) & 编曲 (1)",1959,"Northeast","False",43.61530538826789,124.43331828697407
3738,"许东治","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.71760763354715,125.54592358022394
3739,"佟学多","Northeast","Changchun Film Studio (2) & Xi'an Film Studio (1)","Acting","Acting (2)",1959,"Northeast","False",44.37948545054693,125.27011977998856
3740,"许志余","Northeast","Changchun Film Studio (2)","Acting","Acting (2)",1959,"Northeast","False",44.328247476370805,126.00916299065398
3741,"朴祐","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)",1959,"Northeast","False",43.11502005188464,125.6077938728947
3742,"高子星","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)",1959,"Northeast","False",44.312881292138684,125.17308940765264
3743,"郭琪","Northeast","Changchun Film Studio (2)","Acting","Acting (2)",1959,"Northeast","False",43.34848072065668,124.82062914182741
3744,"谢光喜","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.48418446830764,125.25951996602153
3745,"文征平","Northeast","Changchun Film Studio (1)","独唱","独唱 (1)",1959,"Northeast","False",44.54598050022357,124.51593970514753
3746,"延泽民","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Northeast","False",43.99159321655297,125.00062938074502
3747,"韩德山","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.788567668089634,124.83438886043052
3748,"吴彦姝","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.05982514686694,125.1715672864828
3749,"张彦","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.57193533877263,125.05048627816487
3750,"高宏亮","Northeast","Changchun Film Studio (1)","作曲","作曲 (1)",1959,"Northeast","False",44.68792742638851,124.92864962953442
3751,"周九虎","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Northeast","False",43.46195243120915,124.93767375798083
3752,"周文林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.978835114561996,125.45758035414342
3753,"李万甫","Northeast","Changchun Film Studio (2)","Acting | 制片","Acting (1) & 制片 (1)",1959,"Northeast","False",43.980100724718966,125.83312072263548
3754,"李怀禄","Northeast","Changchun Film Studio (5)","摄影","摄影 (5)",1959,"Northeast","False",43.19325109451611,124.93811159834003
3755,"张新芳","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","Acting","Acting (2)",1959,"Northeast","False",-0.018019417851866226,0.04695055545720761
3756,"赵志安","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.10798635593908,125.89600438065028
3757,"白雅泉","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.08762617294398,125.44512539349678
3758,"董长明","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.80772802861758,124.64010472512123
3759,"刘淑云","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.704448728912126,125.13261663039937
3760,"刘道德","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.6505308194752,124.6718034707167
3761,"张凤梧","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.772205388811855,125.00579474985763
3762,"龚明义","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.821155190576434,125.70610036072402
3763,"韩凤兰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.194467988285,124.57417295367883
