Id,Label,GeoCategory,Affilations,Main Role,All Roles
1077,"葛兴萼","Canton","Pearl River Film Studio (1)","美工","美工 (1)"
1078,"杨桦","Canton","Pearl River Film Studio (1)","指挥","指挥 (1)"
1079,"陈邦","Canton","Pearl River Film Studio (1)","录音","录音 (1)"
1080,"王树田","Canton","Pearl River Film Studio (1)","录音","录音 (1)"
1081,"孙锐锋","Canton","Pearl River Film Studio (1)","制片","制片 (1)"
1082,"罗树琪","Canton","Pearl River Film Studio (1)","助理导演","助理导演 (1)"
1083,"李敏","Canton","Pearl River Film Studio (1)","剪辑","剪辑 (1)"
1084,"郭漱石","Canton","Pearl River Film Studio (1)","化妆","化妆 (1)"
1085,"桑夫","Xi'an","Xi'an Film Studio (1)","Director","Director (1)"
1086,"韩光","Xi'an","Xi'an Film Studio (1)","Scriptwriter","Scriptwriter (1)"
1087,"鲁荣敏","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1088,"王芳","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1089,"沈荣坪","Xi'an","Xi'an Film Studio (2)","Acting","Acting (2)"
1090,"李诗燃","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1091,"孟秀玲","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1092,"陈坪","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1093,"徐曼","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1094,"秦向","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1095,"郑大年","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1096,"赵剑影","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1097,"周音","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1098,"米百超","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1099,"梅林","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)"
1100,"连城","Xi'an","Xi'an Film Studio (1)","摄影指导","摄影指导 (1)"
