张劭,Shanghai (private),Wenhua Film Company (2) & Kunlun Film Company (1),1949,Shanghai (private),True
王敏,Shanghai (private),Wenhua Film Company (3) & Shanghai Film Studio (1) & Guotai Film Company (1) & Anhui Film Studio (1) & Jiangnan Film Studio (1) & 黎明影业公司 (1),1949,Shanghai (private),True
李家,Shanghai (private),Wenhua Film Company (1),1949,Shanghai (private),True
钟高年,Shanghai (private),Wenhua Film Company (1),1949,Shanghai (private),True
薛容,Shanghai (private),Wenhua Film Company (1),1949,Shanghai (private),True
罗森,Shanghai (private),Wenhua Film Company (1),1949,Shanghai (private),True
许琦,Shanghai (state),Wenhua Film Company (4) & Shanghai Film Studio (3) & Haiyan Film Studio (10) & Jiangsu Film Studio (1) & Tianma Film Studio (2),1949,Shanghai (private),True
郑小秋,Shanghai (private),Datong Film Company (2),1949,Shanghai (private),True
田汉,Shanghai (state) / Shanghai (private),Datong Film Company (1) & Jiangnan Film Studio (1),1949,Shanghai (private),True
吕玉堃,Shanghai (private),Datong Film Company (2) & 新中华影业公司 (1) & 雷电影业公司 (1) & Guotai Film Company (1),1949,Shanghai (private),True
陈正薇,Shanghai (private),Datong Film Company (1),1949,Shanghai (private),True
罗静宜,Shanghai (private),Datong Film Company (6) & Tianma Film Studio (5),1949,Shanghai (private),True
强明,Shanghai (state),Datong Film Company (4) & Shanghai Film Studio (5) & Haiyan Film Studio (5) & Tianma Film Studio (1),1949,Shanghai (private),True
朱琳,Shanghai (private),Datong Film Company (4) & Kunlun Film Company (1) & Changchun Film Studio (1),1949,Shanghai (private),True
周刍,Shanghai (private),Datong Film Company (6) & Guotai Film Company (1) & Changchun Film Studio (1) & August First Film Studio (3) & 惠昌商务有限公司 (1),1949,Shanghai (private),True
姜修,Shanghai (private),Datong Film Company (1) & Kunlun Film Company (2) & Wenhua Film Company (2) & 新中华影业公司 (2) & Da Guangming Film Company (1) & Guotai Film Company (1),1949,Shanghai (private),True
陈焰,Shanghai (state),Datong Film Company (2) & Shanghai Film Studio (1) & Tianma Film Studio (3),1949,Shanghai (private),True
潘锐,Shanghai (private),Datong Film Company (1) & Wenhua Film Company (1) & Shanghai Film Studio (1),1949,Shanghai (private),True
程又林,Shanghai (private),Datong Film Company (1),1949,Shanghai (private),True
于冲,Shanghai (state),Datong Film Company (6) & Shanghai Film Studio (3) & Haiyan Film Studio (1) & Tianma Film Studio (9) & 新中华影业公司 (1) & 东华影业公司 (1),1949,Shanghai (private),True
姚思诚,Shanghai (private),Datong Film Company (1),1949,Shanghai (private),True
冯奇,Shanghai (state),Datong Film Company (2) & Shanghai Film Studio (5) & Jiangnan Film Studio (9) & Haiyan Film Studio (2) & Tianma Film Studio (6) & Guotai Film Company (1),1949,Shanghai (private),True
许垦,Shanghai (private),Datong Film Company (1) & Guotai Film Company (2) & Tianma Film Studio (1) & Jiangnan Film Studio (1) & 华东影片经理公司 (1),1949,Shanghai (private),True
唐葭村,Shanghai (private),Datong Film Company (1),1949,Shanghai (private),True
陈月楼,Shanghai (private),Datong Film Company (1),1949,Shanghai (private),True
虞禹方,Shanghai (private),Datong Film Company (1),1949,Shanghai (private),True
