Film Key,Film Title,Production,Category,Has Downloadable Source on 1905 (False for films with limited source and empty for no source)
xin de yi ke,新的一课,Changchun Film Studio,Northeast,
fu wu yuan,服务员,Changchun Film Studio,Northeast,True
shuai qi piao piao,帅旗飘飘,Changchun Film Studio,Northeast,
chun shui chang liu,春水长流,Changchun Film Studio,Northeast,True
shang ba de gu shi,伤疤的故事,Changchun Film Studio,Northeast,
hong ling jin de gu shi,红领巾的故事,Changchun Film Studio,Northeast,True
tian xia wu nan shi,天下无难事,Changchun Film Studio,Northeast,
chun lei (1958),春雷,Changchun Film Studio,Northeast,True
bao shan zhi ge,宝山之歌,Changchun Film Studio,Northeast,True
huo yan ju,火焰驹,Changchun Film Studio,Northeast,True
shang hai gu niang,上海姑娘,Beijing Film Studio,Beijing,True
sheng huo de lang hua,生活的浪花,Beijing Film Studio,Beijing,True
tan qin ji,探亲记,Beijing Film Studio,Beijing,True
shi san ling shui ku chang xiang qu,十三陵水库畅想曲,Beijing Film Studio,Beijing,True
shan li de ren,山里的人,Beijing Film Studio,Beijing,True
yi tian yi ye,一天一夜,Beijing Film Studio,Beijing,True
ping fan de shi ye,平凡的事业,Haiyan Film Studio,Shanghai (state),
ye zou luo tuo ling,夜走骆驼岭,Haiyan Film Studio,Shanghai (state),
shen shan li de ju hua,深山里的菊花,Haiyan Film Studio,Shanghai (state),
xiao kang ren jia,小康人家,Haiyan Film Studio,Shanghai (state),
zhan dou de shan cun,战斗的山村,Haiyan Film Studio,Shanghai (state),
cui gu zhong sheng,翠谷钟声,Haiyan Film Studio,Shanghai (state),
cong ming de ren,聪明的人,Haiyan Film Studio,Shanghai (state),
shei shi bei pao qi de ren,谁是被抛弃的人,Haiyan Film Studio,Shanghai (state),True
di san ci shi yan,第三次试验,Haiyan Film Studio,Shanghai (state),True
gang ren tie ma,钢人铁马,Haiyan Film Studio,Shanghai (state),
ju lang,巨浪,Haiyan Film Studio,Shanghai (state),
you chuan huo yan,油船火焰,Haiyan Film Studio,Shanghai (state),
dian xing bao gao,典型报告,Haiyan Film Studio,Shanghai (state),
chang qing shu,常青树,Haiyan Film Studio,Shanghai (state),
wang jiang ting,望江亭,Haiyan Film Studio,Shanghai (state),True
xia xiang yu gan jiao,下乡与赶脚,Haiyan Film Studio,Shanghai (state),
lan lan he dong dong,兰兰和冬冬,Tianma Film Studio,Shanghai (state),False
san mao xue sheng yi,三毛学生意,Tianma Film Studio,Shanghai (state),True
tie chuang lie huo,铁窗烈火,Tianma Film Studio,Shanghai (state),
da yue jin zhong de xiao zhu ren,大跃进中的小主人,Tianma Film Studio,Shanghai (state),
qian fang lai xin,前方来信,Tianma Film Studio,Shanghai (state),
bu gu niao you jiao le,布谷鸟又叫了,Tianma Film Studio,Shanghai (state),
qian nv nao hai,千女闹海,Tianma Film Studio,Shanghai (state),
da feng lang li de xiao gu shi,大风浪里的小故事,Tianma Film Studio,Shanghai (state),True
huang bao mei,黄宝妹,Tianma Film Studio,Shanghai (state),
20 tian ge ge ming,20天革个命,Tianma Film Studio,Shanghai (state),
ying xiong gan pai ke,英雄赶派克,Tianma Film Studio,Shanghai (state),
zhong yao de yi ke,重要的一课,Tianma Film Studio,Shanghai (state),
liang ge ying ye yuan,两个营业员,Tianma Film Studio,Shanghai (state),
gang hua bian di kai,钢花遍地开,Tianma Film Studio,Shanghai (state),
ni zhui wo gan,你追我赶,Tianma Film Studio,Shanghai (state),
hai shang hong qi,海上红旗,Tianma Film Studio,Shanghai (state),
xin an jiang shang,新安江上,Tianma Film Studio,Shanghai (state),
zhen zhu ji,珍珠记,Tianma Film Studio,Shanghai (state),
liu jie mei,刘介梅,Tianma Film Studio,Shanghai (state),
lin chong,林冲,Jiangnan Film Studio,Shanghai (state),True
liang ge xun luo bing,两个巡逻兵,Jiangnan Film Studio,Shanghai (state),True
miao jia er nv,苗家儿女,Jiangnan Film Studio,Shanghai (state),True
wu ming ying xiong,无名英雄,Jiangnan Film Studio,Shanghai (state),
lu ban de chuan shuo,鲁班的传说,Jiangnan Film Studio,Shanghai (state),True
san ba he bian,三八河边,Jiangnan Film Studio,Shanghai (state),
ai chang ru jia,爱厂如家,Jiangnan Film Studio,Shanghai (state),True
di yi lie kuai che,第一列快车,Jiangnan Film Studio,Shanghai (state),True
xiao fang zhi ge,消防之歌,Jiangnan Film Studio,Shanghai (state),
wo long hu,卧龙湖,Jiangnan Film Studio,Shanghai (state),
tie shu kai hua,铁树开花,Jiangnan Film Studio,Shanghai (state),
gang cheng hu jiang,钢城虎将,Jiangnan Film Studio,Shanghai (state),
re lang ben teng,热浪奔腾,Jiangnan Film Studio,Shanghai (state),
mu gui ying gua shuai (1958),穆桂英挂帅,Jiangnan Film Studio,Shanghai (state),True
qing tan,情探,Jiangnan Film Studio,Shanghai (state),True
san ge zhan you,三个战友,August First Film Studio,Beijing,True
hei shan zu ji zhan,黑山阻击战,August First Film Studio,Beijing,True
chang kong bi yi,长空比翼,August First Film Studio,Beijing,True
hong xia,红霞,August First Film Studio,Beijing,True
ying xiong hu dan,英雄虎胆,August First Film Studio,Beijing,True
du jiang tan xian,渡江探险,August First Film Studio,Beijing,True
